Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),ZONE_0:Zone Mean Radiant Temperature [C](Hourly),ZONE_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE_0:Zone Mean Air Temperature [C](Hourly),ZONE_0:Zone Operative Temperature [C](Hourly),ZONE_0:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE_0:Zone Infiltration Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Infiltration Air Change Rate [ach](Hourly),ZONE_0:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Ventilation Air Change Rate [ach](Hourly),ZONE_0:Zone Air Temperature [C](Hourly),ZONE_0:Zone Air Humidity Ratio [](Hourly),ZONE_0:Zone Air Relative Humidity [%](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZONE_0:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ZONE_0:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 01/01  01:00:00,10.815000000000001,0.007142424678576868,88.05,21.95678111194222,0.0,20.94620686003511,21.45149398598867,0.008359830803320634,0.008137214715410537,0.10376945291372366,0.0,0.0,20.94620686003511,0.008359830803320634,53.81792544077588,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1497537.5923078563,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  02:00:00,10.445,0.006771014139847047,85.65,21.93008918714015,0.0,20.878589823812653,21.404339505476404,0.008007760975029577,0.00815263548848264,0.10388417313277991,0.0,0.0,20.878589823812653,0.008007760975029577,51.7955915642935,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1537179.484859545,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  03:00:00,10.400000000000002,0.0069458531198122175,88.1,21.90680166216126,0.0,20.850476112240376,21.378638887200818,0.00780501066175641,0.008151662551883631,0.10382841812863335,0.0,0.0,20.850476112240376,0.00780501066175641,50.58818619608252,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1427289.0646632877,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  04:00:00,10.345,0.007078903957687875,90.1,21.88424626845196,0.0,20.826235553681403,21.355240911066684,0.007741214536165664,0.008151519594410798,0.10380751925442755,0.0,0.0,20.826235553681403,0.007741214536165664,50.25476807903331,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1372758.8750109198,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  05:00:00,10.245000000000001,0.007232484347691708,92.65,21.86142149425135,0.0,20.796430673533578,21.328926083892462,0.007754088119548873,0.008152405664857278,0.10381039970784652,0.0,0.0,20.796430673533578,0.007754088119548873,50.42981731850095,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1339423.0463373596,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  06:00:00,10.145,0.007375966451566333,95.1,21.83853211164129,0.0,20.76638612319439,21.302459117417836,0.007824278769510001,0.008153424135558762,0.10382432779459647,0.0,0.0,20.76638612319439,0.007824278769510001,50.97488284858501,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1325890.422144036,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  07:00:00,10.044999999999998,0.007482098998953207,97.1,21.842508873176456,0.0,21.13923665375934,21.490872763467898,0.007908825226391367,0.00815492803289148,0.10398917134331313,0.0,0.0,21.13923665375934,0.007908825226391367,50.351511384857474,1.0,10.988333333333332,0.0,0.0,0.0,0.0,988291.7773581733,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  08:00:00,10.109999999999998,0.007542581496008895,97.45,21.855093460217777,74025.28662381705,21.50627302670735,21.68068324346256,0.007987562303089628,0.008152273662616458,0.10409797726676344,0.0,0.0,21.50627302670735,0.007987562303089628,49.714698262124216,1.0,10.988333333333332,0.0,0.0,0.0,0.0,681731.5828795605,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/01  09:00:00,10.474999999999998,0.0076066169855849575,95.9,21.96321427769458,1183669.256810321,21.715957320193677,21.839585798944128,0.008039497491938944,0.008140956122400279,0.10403600905081814,0.0,0.0,21.715957320193677,0.008039497491938944,49.395791996215245,1.0,10.988333333333332,0.0,0.0,0.0,0.0,394838.6088964444,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/01  10:00:00,11.195,0.007769736196007612,93.35,22.08798915265071,2340070.44134875,21.646942719585844,21.867465936118275,0.008081647912481749,0.008118243777521753,0.1037285481333142,0.13472473800377005,1.708857359901805,21.646942719585844,0.008081647912481749,49.91088047520024,1.0,10.988333333333332,0.0,1867509.559676143,0.0,1834079.1524698948,334967.12850666523,33457.272099563466,0.0,0.0,0.0,0.00875686092001977 
 01/01  11:00:00,12.15,0.007913504983094323,89.25,22.27828420735942,5023550.312839794,20.420833619099632,21.349558913229522,0.007970318109176974,0.008089223114109385,0.10290953941488072,0.13007582832187928,1.6490624320977276,20.420833619099632,0.007970318109176974,53.16287348129559,1.0,10.988333333333332,0.0,1674195.552852634,0.0,1595213.6982922906,187266.47431027962,79008.92601857845,0.0,0.0,0.0,0.00875686092001977 
 01/01  12:00:00,13.260000000000002,0.008089446335483716,84.8,22.285324785748372,3961746.573286357,21.07444102538896,21.679882905568668,0.008073305807403681,0.008055626812435117,0.10272702602476498,0.12468279760410453,1.5801671258846752,21.07444102538896,0.008073305807403681,51.73252559855657,1.0,10.988333333333332,0.0,1186714.724148501,0.0,1108772.556919373,338905.87989524973,82648.63847414083,0.0,0.0,0.0,0.014926592543196986 
 01/01  13:00:00,14.294999999999998,0.008246240801746359,80.8,22.313232383251982,3962471.6074843346,20.26510651119535,21.289169447223667,0.00827873665385816,0.008024617615197792,0.10208337870113722,0.233082272990936,2.9528196916657192,20.26510651119535,0.00827873665385816,55.738647701449835,1.0,10.988333333333332,0.0,1481777.9500944626,0.0,1317078.4334801526,334740.6239129368,208809.2672213294,0.0,0.0,0.0,0.0222905249418191 
 01/01  14:00:00,15.030000000000005,0.008338655086952822,77.9,22.31290777939168,3138479.2425520793,20.842151267723285,21.577529523557484,0.008381627180820864,0.008002973551886188,0.10202498952524912,0.2181351435913208,2.7666424663863234,20.842151267723285,0.008381627180820864,54.47099024709536,1.0,10.988333333333332,0.0,374829.460090195,0.0,351300.2562742203,309535.26581116486,23534.27829111275,0.0,0.0,0.0,0.014926592543196986 
 01/01  15:00:00,15.355,0.008356695281314252,76.45,22.24378862223783,2383415.5328045,20.479440076281094,21.36161434925946,0.008427246290509798,0.00799372628536188,0.10178875431150318,0.10698125093007807,1.357610594113042,20.479440076281094,0.008427246290509798,55.97083724649333,1.0,10.988333333333332,0.0,413441.5884199396,0.0,386975.4964637288,139515.7229522245,26476.53664342017,0.0,0.0,0.0,0.00875686092001977 
 01/01  16:00:00,15.180000000000001,0.008332963814896111,77.1,22.215504479506738,1766682.1960564207,21.022583412209077,21.619043945857904,0.008406625946356884,0.007998880431842974,0.10203946946731342,0.10760690884102722,1.3650594356887185,21.022583412209077,0.008406625946356884,53.998016369616515,1.0,10.988333333333332,0.0,253568.86280199795,0.0,240110.26243877277,176497.21572676764,13464.495854157367,0.0,0.0,0.0,0.00875686092001977 
 01/01  17:00:00,14.615,0.008299983309803298,79.65,22.16942319644509,1403916.8399954566,20.314745704588344,21.24208445051672,0.008390435501964721,0.008015007861017784,0.10199657560359418,0.2242234889195116,2.841775059525927,20.314745704588344,0.008390435501964721,56.320516504145246,1.0,10.988333333333332,0.0,1019244.7422331865,0.0,927963.4831845348,245065.9738046872,91327.61345011194,0.0,0.0,0.0,0.014926592543196986 
 01/01  18:00:00,13.915000000000001,0.008229929581699946,82.65,22.08429634197863,125888.93299521875,21.80017517334653,21.94223575766258,0.00845286417458815,0.00803544562694261,0.10278444961259262,0.0,0.0,21.80017517334653,0.00845286417458815,51.63807227922812,1.0,10.988333333333332,0.0,0.0,0.0,0.0,672267.203485367,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  19:00:00,13.270000000000001,0.008124313304145534,85.1,22.07859009259406,0.0,21.930970549828853,22.004780321211456,0.008592808916259069,0.008054890137888234,0.10310168074083428,0.0,0.0,21.930970549828853,0.008592808916259069,52.061020394548436,1.0,10.988333333333332,0.0,0.0,0.0,0.0,802879.7139065629,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  20:00:00,12.725,0.008022658481377273,87.1,22.070187510348063,0.0,21.860534766524705,21.965361138436386,0.008650910220327955,0.008071547521387269,0.10329974785230189,0.0,0.0,21.860534766524705,0.008650910220327955,52.63393591055112,1.0,10.988333333333332,0.0,0.0,0.0,0.0,875621.5629707255,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  21:00:00,12.28,0.007969800273422114,89.1,22.05589785833796,0.0,21.678059799691944,21.86697882901495,0.008663460234756231,0.008084809108214597,0.10340752344333574,0.0,0.0,21.678059799691944,0.008663460234756231,53.30048651151024,1.0,10.988333333333332,0.0,0.0,0.0,0.0,912135.7407410677,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  22:00:00,11.879999999999999,0.007887954041481826,90.55,22.01930713136875,0.0,21.273148316513563,21.646227723941156,0.008640819260743489,0.008097207336993918,0.10342014302004203,0.0,0.0,21.273148316513563,0.008640819260743489,54.49853416492961,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1282345.2034664697,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  23:00:00,11.535,0.007794065423812687,91.54999999999998,21.988967560026644,0.0,21.13670779829082,21.562837679158726,0.008576120815135526,0.008108228100712026,0.10350230600164605,0.0,0.0,21.13670779829082,0.008576120815135526,54.54985555808319,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1310213.254042879,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  24:00:00,11.290000000000001,0.007751805877436931,92.55,21.961477137042657,0.0,21.007715225715906,21.48459618137928,0.008508305026478457,0.008115756238968107,0.10354185696785367,0.0,0.0,21.007715225715906,0.008508305026478457,54.55494879137357,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1316734.1122046388,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  01:00:00,11.09,0.007686075564780391,93.0,21.93610476426651,0.0,20.947872797056398,21.441988780661447,0.008447210920185392,0.008122314673724386,0.10359441085504446,0.0,0.0,20.947872797056398,0.008447210920185392,54.36813104579272,1.0,10.98625,0.0,0.0,0.0,0.0,1332719.5062216274,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  02:00:00,10.889999999999999,0.007583330133349382,93.0,21.912536047745135,0.0,20.906898313339205,21.409717180542167,0.00837252030330143,0.008129360376828446,0.10365754575343415,0.0,0.0,20.906898313339205,0.00837252030330143,54.029755680217555,1.0,10.98625,0.0,0.0,0.0,0.0,1358837.286344695,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  03:00:00,10.69,0.007481773376229278,93.0,21.88941528246422,0.0,20.866726649515336,21.378070965989778,0.008286057975946736,0.008136445559827028,0.10371892004409825,0.0,0.0,20.866726649515336,0.008286057975946736,53.61174375356741,1.0,10.98625,0.0,0.0,0.0,0.0,1381209.7500600384,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  04:00:00,10.49,0.007337364227709181,92.45,21.866122634132207,0.0,20.826730288575938,21.34642646135407,0.008186166752391125,0.008144087686694765,0.10378529873033901,0.0,0.0,20.826730288575938,0.008186166752391125,53.10458412549237,1.0,10.98625,0.0,0.0,0.0,0.0,1412174.587455557,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  05:00:00,10.345,0.007229932291597635,92.0,21.84284576129186,0.0,20.790588311896865,21.316717036594365,0.008068914284547828,0.008149644037287546,0.10382401850739487,0.0,0.0,20.790588311896865,0.008068914284547828,52.47033512516723,1.0,10.98625,0.0,0.0,0.0,0.0,1421374.60298456,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  06:00:00,10.190000000000001,0.007154576121204609,92.0,21.819721583254207,0.0,20.756513177838947,21.288117380546584,0.007967247671820474,0.00815507931426575,0.1038644547895835,0.0,0.0,20.756513177838947,0.007967247671820474,51.92641146941937,1.0,10.98625,0.0,0.0,0.0,0.0,1427145.636949466,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  07:00:00,9.990000000000002,0.0070583337183028365,92.0,21.82294882103567,0.0,21.120071455386054,21.471510138210856,0.007883976700546556,0.008162088439376786,0.10406856384764476,0.0,0.0,21.120071455386054,0.007883976700546556,50.25656917816246,1.0,10.98625,0.0,0.0,0.0,0.0,1075097.5453062507,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/02  08:00:00,9.900000000000002,0.006972946733867021,91.44999999999999,21.828907472697132,0.0,21.475417211007866,21.652162341852495,0.007823047741955124,0.008165791755609796,0.10423141679959662,0.0,0.0,21.475417211007866,0.007823047741955124,48.79706667899763,1.0,10.98625,0.0,0.0,0.0,0.0,747997.6740867249,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/02  09:00:00,10.065000000000001,0.006930346496771894,89.9,21.898751553134147,743226.5821021093,21.63954504183244,21.769148297483298,0.0077712491918182375,0.008161587870474154,0.10422721529682635,0.0,0.0,21.63954504183244,0.0077712491918182375,47.99239909571919,1.0,10.98625,0.0,0.0,0.0,0.0,438679.20279790845,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/02  10:00:00,10.419999999999998,0.006850884751655651,86.79999999999998,21.996863812138237,1674718.578643497,21.766392533741612,21.88162817293993,0.007722596926117739,0.008152400768752817,0.10414664126893462,0.0,0.0,21.766392533741612,0.007722596926117739,47.3273774408985,1.0,10.98625,0.0,0.0,0.0,0.0,433741.24963692576,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/02  11:00:00,10.875,0.0067350552297084625,82.8,22.086812256119195,2307030.5118704387,21.92150381310053,22.004158034609862,0.007663638312304823,0.00814084097431492,0.10404392051640346,0.0,0.0,21.92150381310053,0.007663638312304823,46.527587222322744,1.0,10.98625,0.0,0.0,0.0,0.0,428738.21915445547,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/02  12:00:00,11.375,0.006577904067382409,78.25,22.109266534047315,2488776.623265207,20.99185240297598,21.550559468511654,0.00721427517725855,0.008128566429892917,0.10348604577235512,0.13672202029809138,1.7321364077131551,20.99185240297598,0.00721427517725855,46.42727175884788,1.0,10.98625,0.0,2169862.224413322,0.0,2067173.746311318,521638.7697579566,102995.59420776676,0.0,0.0,0.0,0.014926592543196986 
 01/02  13:00:00,11.874999999999998,0.006459396732366431,74.35,22.231423228464703,3309263.6413773857,21.659791877097977,21.94560755278134,0.006928619722369326,0.008115837241588424,0.10351147221457661,0.1315057582813279,1.6641569930751725,21.659791877097977,0.006928619722369326,42.828440815091845,1.0,10.98625,0.0,1533230.5480363506,0.0,1452486.6200488699,834204.076675508,80888.58942973029,0.0,0.0,0.0,0.0222905249418191 
 01/02  14:00:00,12.265,0.006359248726089324,71.35,22.177060463407926,2497637.804385722,21.195491157046963,21.68627581022744,0.006641253584797153,0.008106037799058965,0.10317635724566518,0.0,0.0,21.195491157046963,0.006641253584797153,42.29977834067543,1.0,10.98625,0.0,206952.41223943635,0.0,167081.7597914877,473893.61486241943,39931.45228099431,0.0,0.0,0.0,0.014926592543196986 
 01/02  15:00:00,12.400000000000002,0.006294256610547109,70.0,22.132017602214464,1727105.6907296912,20.98867464077225,21.560346121493353,0.006499045966179839,0.008103042972200738,0.10304253838385728,0.12956499962168602,1.6388032362142517,20.98867464077225,0.006499045966179839,41.9459124679243,1.0,10.98625,0.1,1562018.476697118,0.0,1508766.9647261612,240354.17182396815,53318.3539175355,0.0,0.0,0.0,0.00875686092001977 
 01/02  16:00:00,12.290000000000001,0.006297966625673436,70.55,22.061666113578017,782088.0147711883,21.079984233341808,21.570825173459912,0.0064564823453767866,0.008106118133297367,0.10310660617134285,0.13038360249538303,1.6490639682375172,21.079984233341808,0.0064564823453767866,41.45020089822169,1.0,10.98625,0.1,1679377.4402125198,0.0,1625141.2002939577,244490.17339475424,54273.50190176892,0.0,0.0,0.0,0.00875686092001977 
 01/02  17:00:00,12.035,0.006377959566307434,72.65,22.064015108049023,762486.532640116,21.802675963556755,21.933345535802893,0.006476050063544637,0.008112333777653226,0.10344238372924872,0.0,0.0,21.802675963556755,0.006476050063544637,39.67818044345829,1.0,10.98625,0.0,0.0,0.0,0.0,537947.1854519738,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/02  18:00:00,11.735,0.006512529508006659,75.65,22.012849767673636,70122.77043696099,21.76295081801248,21.88790029284306,0.006671185787780734,0.008119137822864775,0.10354731511175108,0.0,0.0,21.76295081801248,0.006671185787780734,40.96256768989956,1.0,10.98625,0.0,0.0,0.0,0.0,848683.7925714725,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/02  19:00:00,11.434999999999999,0.006639081819838161,78.65,21.993051844914024,0.0,21.655282396999674,21.82416712095685,0.0068646569551599704,0.008126060600075952,0.10362965848479275,0.0,0.0,21.655282396999674,0.0068646569551599704,42.41389171362682,1.0,10.98625,0.0,0.0,0.0,0.0,876920.1821463823,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/02  20:00:00,11.135000000000002,0.006711962147456613,81.1,21.980690487214936,0.0,21.613010269190355,21.796850378202645,0.0070282276785211106,0.00813369304157154,0.10373909653017037,0.0,0.0,21.613010269190355,0.0070282276785211106,43.525563356969506,1.0,10.98625,0.0,0.0,0.0,0.0,917224.1629685032,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/02  21:00:00,10.889999999999999,0.006721856594832781,82.55,21.96452028907997,0.0,21.462907951384626,21.7137141202323,0.007148776600184527,0.008140580384058998,0.10379395250410617,0.0,0.0,21.462907951384626,0.007148776600184527,44.67267267660271,1.0,10.98625,0.0,0.0,0.0,0.0,949591.6240269366,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/02  22:00:00,10.745000000000001,0.006782920247860888,84.1,21.926874006418178,0.0,21.077940835568487,21.50240742099333,0.007238818786260519,0.008143946980775117,0.10371603679547023,0.0,0.0,21.077940835568487,0.007238818786260519,46.31102182287812,1.0,10.98625,0.0,0.0,0.0,0.0,1298479.0715395482,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  23:00:00,10.59,0.006829498265723209,85.55,21.896092973823475,0.0,20.964816566837044,21.430454770330254,0.007321239386184929,0.00814779256569199,0.103738705406248,0.0,0.0,20.964816566837044,0.007321239386184929,47.15692826539425,1.0,10.98625,0.0,0.0,0.0,0.0,1309624.9199554573,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/02  24:00:00,10.445,0.006842961760911334,86.55000000000001,21.86775651839761,0.0,20.8470418822565,21.35739920032706,0.007374773571401221,0.00815178371009696,0.10375678516258804,0.0,0.0,20.8470418822565,0.007374773571401221,47.8432002919701,1.0,10.98625,0.0,0.0,0.0,0.0,1325681.790801729,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  01:00:00,10.400000000000002,0.006901937790814156,87.55,21.84212108439674,0.0,20.80105977923879,21.321590431817764,0.007419840890572136,0.008152312779783726,0.10375472034383057,0.0,0.0,20.80105977923879,0.007419840890572136,48.26833057862813,1.0,10.99072222222222,0.0,0.0,0.0,0.0,1320468.0368709567,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  02:00:00,10.400000000000002,0.007025513570838746,89.1,21.819199305574934,0.0,20.779540092245142,21.299369698910038,0.007482225570810441,0.008150711191292247,0.10373702366967183,0.0,0.0,20.779540092245142,0.007482225570810441,48.7338755851531,1.0,10.99072222222222,0.0,0.0,0.0,0.0,1300196.694630547,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  03:00:00,10.400000000000002,0.007141155850387916,90.55,21.79702582656106,0.0,20.75922447295516,21.27812514975811,0.007571548833587148,0.008149212931090529,0.10372550308182767,0.0,0.0,20.75922447295516,0.007571548833587148,49.37039325355856,1.0,10.99072222222222,0.0,0.0,0.0,0.0,1290297.867446525,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  04:00:00,10.345,0.007194115451542424,91.54999999999998,21.77483878401663,0.0,20.735314721810784,21.255076752913702,0.00765639944029443,0.008150107937563109,0.10374243648432702,0.0,0.0,20.735314721810784,0.00765639944029443,49.99051120217855,1.0,10.99072222222222,0.0,0.0,0.0,0.0,1303452.9561777865,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  05:00:00,10.299999999999999,0.007295155417516927,93.1,21.752717607723724,0.0,20.709686579720973,21.23120209372235,0.007732584607997908,0.008150092982570124,0.1037457507217886,0.0,0.0,20.709686579720973,0.007732584607997908,50.561573539477585,1.0,10.99072222222222,0.0,0.0,0.0,0.0,1298533.240965462,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  06:00:00,10.299999999999999,0.007410126029412656,94.55,21.731104762994203,0.0,20.68990358769555,21.210504175344873,0.007827615705573013,0.008148604174182315,0.10373546867793841,0.0,0.0,20.68990358769555,0.007827615705573013,51.23764988666865,1.0,10.99072222222222,0.0,0.0,0.0,0.0,1290567.1801878065,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/03  07:00:00,10.299999999999999,0.007533077234076932,96.1,21.73638173443839,0.0,21.0699577465218,21.403169740480095,0.007922106896635271,0.008147012689353948,0.10386493370376208,0.0,0.0,21.0699577465218,0.007922106896635271,50.65045548638823,1.0,10.99072222222222,0.0,0.0,0.0,0.0,953870.7398290066,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/03  08:00:00,10.299999999999999,0.007560844024027723,96.45,21.742794030590723,0.0,21.432838761197353,21.587816395894038,0.008009838056499833,0.008146653321812058,0.10400293664703857,0.0,0.0,21.432838761197353,0.008009838056499833,50.07675359981619,1.0,10.99072222222222,0.0,0.0,0.0,0.0,668022.2002004983,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/03  09:00:00,10.299999999999999,0.007437886921386125,94.9,21.913704541429226,1852612.0895393789,21.672291573582505,21.792998057505866,0.00804291644952583,0.008148244806640427,0.10411327582636307,0.0,0.0,21.672291573582505,0.00804291644952583,49.54954656034565,1.0,10.99072222222222,0.0,0.0,0.0,0.0,412877.53721234645,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/03  10:00:00,10.299999999999999,0.007192121688577566,91.79999999999998,21.953968180379228,1869973.8033004655,21.764185836072997,21.859077008226112,0.008024444156235277,0.008151427776297116,0.10418335381684381,0.0,0.0,21.764185836072997,0.008024444156235277,49.15988734269372,1.0,10.99072222222222,0.0,0.0,0.0,0.0,434852.3214881142,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/03  11:00:00,10.299999999999999,0.006875275966058365,87.8,22.00935906415655,2170876.880190047,21.82357980082774,21.916469432492143,0.00795278806675804,0.008155534833918567,0.10424498026719294,0.0,0.0,21.82357980082774,0.00795278806675804,48.55011645012955,1.0,10.99072222222222,0.0,0.0,0.0,0.0,456542.4211718451,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/03  12:00:00,10.355,0.0065392889288529875,83.25,22.070619831849477,2464168.5688605406,21.880332709831258,21.975476270840367,0.007818730429159003,0.008158311484594722,0.10427833819383867,0.0,0.0,21.880332709831258,0.007818730429159003,47.576714239022834,1.0,10.99072222222222,0.0,0.0,0.0,0.0,806656.0702059905,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/03  13:00:00,10.400000000000002,0.00624900898118152,79.35,21.961415037752463,2142039.324843621,19.347939334536456,20.654677186144458,0.006690103580305669,0.008160785699544842,0.10322943865474292,0.2868713847036569,3.595187406510701,19.347939334536456,0.006690103580305669,48.264668072867906,0.9,10.99072222222222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  14:00:00,10.400000000000002,0.006010468772179468,76.35,21.858119642429262,1370745.9491598965,20.11055685042842,20.98433824642884,0.006259686890917955,0.00816388554823783,0.10346698370574567,0.0,0.0,20.11055685042842,0.006259686890917955,43.12680671122256,0.9,10.99072222222222,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  15:00:00,10.400000000000002,0.0059031773020748945,75.0,21.753347898881586,503605.944776904,19.41784158578616,20.585594742333875,0.006002331136972283,0.008165280480149657,0.10319780594976091,0.14331746102574922,1.7938542279691325,19.41784158578616,0.006002331136972283,43.25568931274896,0.9,10.99072222222222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  16:00:00,10.400000000000002,0.005946882003103027,75.55,21.76257851595681,476686.74632458715,19.787836076415594,20.7752072961862,0.006045191409049825,0.008164712174555952,0.10332825702769215,0.14337688153588676,1.794364842018804,19.787836076415594,0.006045191409049825,42.65881434885525,0.9,10.99072222222222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  17:00:00,10.400000000000002,0.006113813951386272,77.65,21.776532198936465,1260747.7217079184,19.554848375123147,20.665690287029808,0.006096839929826364,0.008162542280470874,0.10322704852092043,0.1434378883605649,1.7957677440179123,19.554848375123147,0.006096839929826364,43.6269625501741,0.9,10.99072222222222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  18:00:00,10.400000000000002,0.006352432692449311,80.65,21.695388423365845,129275.79549811929,21.079140867423032,21.387264645394442,0.006316386768123064,0.008159442431777863,0.10376146551543708,0.0,0.0,21.079140867423032,0.006316386768123064,40.46465085153024,1.0,10.99072222222222,0.0,0.0,0.0,12369.973351967541,851102.6596200262,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/03  19:00:00,10.345,0.006566682751097698,83.65,21.710531619659008,0.0,21.276106362711662,21.493318991185333,0.006577688408641291,0.008158243601525056,0.10385884779162673,0.0,0.0,21.276106362711662,0.006577688408641291,41.61434285969078,1.0,10.99072222222222,0.0,0.0,0.0,3314.3972462450297,892373.2927261693,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/03  20:00:00,10.299999999999999,0.006740703285806752,86.1,21.7102738111107,0.0,21.276416831202482,21.49334532115659,0.006818148124044535,0.008157280333407659,0.1038864206886273,0.0,0.0,21.276416831202482,0.006818148124044535,43.11841457095047,1.0,10.99072222222222,0.0,0.0,0.0,0.0,907255.2455846805,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/03  21:00:00,10.299999999999999,0.0068554713702515795,87.55,21.701057914364277,0.0,21.16111412598405,21.431086020174167,0.007027455976807951,0.008155791525019909,0.10386134436358543,0.0,0.0,21.16111412598405,0.007027455976807951,44.743604482099784,1.0,10.99072222222222,0.0,0.0,0.0,0.0,919254.8845372079,0.0,0.0,0.0,0.0,0.0222905249418191 
